,MissingCount,MissingPercent
Nation,0,0.0
Region,3881,3.6747370115421396
Division,4308,4.0790432995938
State,5241,4.962457273252346
CBSA,16352,15.48294244079801
County,43194,40.89837425316959
NAICS2,4045,3.830020925454253
NAICS2_Name,4045,3.830020925454253
NAICS3,47817,45.27567628985068
NAICS3_Name,47817,45.27567628985068
Establishments,0,0.0
TOTAL10,0,0.0
WHT10,0,0.0
BLKT10,0,0.0
HISPT10,0,0.0
ASIANT10,0,0.0
AIANT10,0,0.0
nhopiT10,0,0.0
tomrT10,0,0.0
MT10,0,0.0
FT10,0,0.0
TOTAL1,0,0.0
TOTAL2,0,0.0
TOTAL3,0,0.0
TOTAL4,0,0.0
TOTAL5,0,0.0
TOTAL6,0,0.0
TOTAL7,0,0.0
TOTAL8,0,0.0
TOTAL9,0,0.0
TOTAL1_2,0,0.0
WHM10,0,0.0
BLKM10,0,0.0
HISPM10,0,0.0
ASIANM10,0,0.0
AIANM10,0,0.0
NHOPIM10,0,0.0
TOMRM10,0,0.0
WHF10,0,0.0
BLKF10,0,0.0
HISPF10,0,0.0
ASIANF10,0,0.0
AIANF10,0,0.0
NHOPIF10,0,0.0
TOMRF10,0,0.0
WHT1,0,0.0
WHT2,0,0.0
WHT3,0,0.0
WHT4,0,0.0
WHT5,0,0.0
WHT6,0,0.0
WHT7,0,0.0
WHT8,0,0.0
WHT9,0,0.0
WHT1_2,0,0.0
BLKT1,0,0.0
BLKT2,0,0.0
BLKT3,0,0.0
BLKT4,0,0.0
BLKT5,0,0.0
BLKT6,0,0.0
BLKT7,0,0.0
BLKT8,0,0.0
BLKT9,0,0.0
BLKT1_2,0,0.0
HISPT1,0,0.0
HISPT2,0,0.0
HISPT3,0,0.0
HISPT4,0,0.0
HISPT5,0,0.0
HISPT6,0,0.0
HISPT7,0,0.0
HISPT8,0,0.0
HISPT9,0,0.0
HISPT1_2,0,0.0
ASIANT1,0,0.0
ASIANT2,0,0.0
ASIANT3,0,0.0
ASIANT4,0,0.0
ASIANT5,0,0.0
ASIANT6,0,0.0
ASIANT7,0,0.0
ASIANT8,0,0.0
ASIANT9,0,0.0
ASIANT1_2,0,0.0
AIANT1,0,0.0
AIANT2,0,0.0
AIANT3,0,0.0
AIANT4,0,0.0
AIANT5,0,0.0
AIANT6,0,0.0
AIANT7,0,0.0
AIANT8,0,0.0
AIANT9,0,0.0
AIANT1_2,0,0.0
nhopiT1,0,0.0
nhopiT2,0,0.0
nhopiT3,0,0.0
nhopiT4,0,0.0
nhopiT5,0,0.0
nhopiT6,0,0.0
nhopiT7,0,0.0
nhopiT8,0,0.0
nhopiT9,0,0.0
nhopiT1_2,0,0.0
tomrT1,0,0.0
tomrT2,0,0.0
tomrT3,0,0.0
tomrT4,0,0.0
tomrT5,0,0.0
tomrT6,0,0.0
tomrT7,0,0.0
tomrT8,0,0.0
tomrT9,0,0.0
tomrT1_2,0,0.0
MT1,0,0.0
MT2,0,0.0
MT3,0,0.0
MT4,0,0.0
MT5,0,0.0
MT6,0,0.0
MT7,0,0.0
MT8,0,0.0
MT9,0,0.0
MT1_2,0,0.0
FT1,0,0.0
FT2,0,0.0
FT3,0,0.0
FT4,0,0.0
FT5,0,0.0
FT6,0,0.0
FT7,0,0.0
FT8,0,0.0
FT9,0,0.0
FT1_2,0,0.0
WHM1,0,0.0
BLKM1,0,0.0
HISPM1,0,0.0
ASIANM1,0,0.0
AIANM1,0,0.0
NHOPIM1,0,0.0
TOMRM1,0,0.0
WHF1,0,0.0
BLKF1,0,0.0
HISPF1,0,0.0
ASIANF1,0,0.0
AIANF1,0,0.0
NHOPIF1,0,0.0
TOMRF1,0,0.0
WHM2,0,0.0
BLKM2,0,0.0
HISPM2,0,0.0
ASIANM2,0,0.0
AIANM2,0,0.0
NHOPIM2,0,0.0
TOMRM2,0,0.0
WHF2,0,0.0
BLKF2,0,0.0
HISPF2,0,0.0
ASIANF2,0,0.0
AIANF2,0,0.0
NHOPIF2,0,0.0
TOMRF2,0,0.0
WHM3,0,0.0
BLKM3,0,0.0
HISPM3,0,0.0
ASIANM3,0,0.0
AIANM3,0,0.0
NHOPIM3,0,0.0
TOMRM3,0,0.0
WHF3,0,0.0
BLKF3,0,0.0
HISPF3,0,0.0
ASIANF3,0,0.0
AIANF3,0,0.0
NHOPIF3,0,0.0
TOMRF3,0,0.0
WHM4,0,0.0
BLKM4,0,0.0
HISPM4,0,0.0
ASIANM4,0,0.0
AIANM4,0,0.0
NHOPIM4,0,0.0
TOMRM4,0,0.0
WHF4,0,0.0
BLKF4,0,0.0
HISPF4,0,0.0
ASIANF4,0,0.0
AIANF4,0,0.0
NHOPIF4,0,0.0
TOMRF4,0,0.0
WHM5,0,0.0
BLKM5,0,0.0
HISPM5,0,0.0
ASIANM5,0,0.0
AIANM5,0,0.0
NHOPIM5,0,0.0
TOMRM5,0,0.0
WHF5,0,0.0
BLKF5,0,0.0
HISPF5,0,0.0
ASIANF5,0,0.0
AIANF5,0,0.0
NHOPIF5,0,0.0
TOMRF5,0,0.0
WHM6,0,0.0
BLKM6,0,0.0
HISPM6,0,0.0
ASIANM6,0,0.0
AIANM6,0,0.0
NHOPIM6,0,0.0
TOMRM6,0,0.0
WHF6,0,0.0
BLKF6,0,0.0
HISPF6,0,0.0
ASIANF6,0,0.0
AIANF6,0,0.0
NHOPIF6,0,0.0
TOMRF6,0,0.0
WHM7,0,0.0
BLKM7,0,0.0
HISPM7,0,0.0
ASIANM7,0,0.0
AIANM7,0,0.0
NHOPIM7,0,0.0
TOMRM7,0,0.0
WHF7,0,0.0
BLKF7,0,0.0
HISPF7,0,0.0
ASIANF7,0,0.0
AIANF7,0,0.0
NHOPIF7,0,0.0
TOMRF7,0,0.0
WHM8,0,0.0
BLKM8,0,0.0
HISPM8,0,0.0
ASIANM8,0,0.0
AIANM8,0,0.0
NHOPIM8,0,0.0
TOMRM8,0,0.0
WHF8,0,0.0
BLKF8,0,0.0
HISPF8,0,0.0
ASIANF8,0,0.0
AIANF8,0,0.0
NHOPIF8,0,0.0
TOMRF8,0,0.0
WHM9,0,0.0
BLKM9,0,0.0
HISPM9,0,0.0
ASIANM9,0,0.0
AIANM9,0,0.0
NHOPIM9,0,0.0
TOMRM9,0,0.0
WHF9,0,0.0
BLKF9,0,0.0
HISPF9,0,0.0
ASIANF9,0,0.0
AIANF9,0,0.0
NHOPIF9,0,0.0
TOMRF9,0,0.0
WHM1_2,0,0.0
BLKM1_2,0,0.0
HISPM1_2,0,0.0
ASIANM1_2,0,0.0
AIANM1_2,0,0.0
NHOPIM1_2,0,0.0
TOMRM1_2,0,0.0
WHF1_2,0,0.0
BLKF1_2,0,0.0
HISPF1_2,0,0.0
ASIANF1_2,0,0.0
AIANF1_2,0,0.0
NHOPIF1_2,0,0.0
TOMRF1_2,0,0.0
